ď»żSOURSYSTEM;BILL_NUM;BILL_ITEM;BILL_TYP;BILL_CAT;INVOICEDAT;CALDAY;MATERIAL;DOC_NUMBER;S_ORD_ITEM;SALESEMPLY;SALES_GRP;SALES_OFF;FORWAGENT;SOLD_TO;SHIP_TO;BILLTOPRTY;PAYER;SALES_ACT;SALES_AREA;SALESORG;DISTR_CHAN;DIVISION;COMP_CODE;PLANT;BILL_QTY;   Value  ;COST;TRF_COST;DOC_CURRCY;LOC_CURRCY; DOC_RATE ;PROD_HIER;PROD_CUSTGROUPE;PROD_COUNTRY;DESCHIER;CONV_QTY;PROFITCENTER;ORDERREASON;Unnamed: 39;Unnamed: 40;Unnamed: 41
HG;200090/26;1;;;20251231;20251231;4E3581E67B;CE8E8BD6B4;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;44146;35317;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110329
HG;200091/26;1;;;20251231;20251231;4E3581E67B;BA1A99B484;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;126297;101038;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110340
HG;200092/26;1;;;20251231;20251231;4E3581E67B;7B9861756C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;20346;16277;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110343
HG;200093/26;1;;;20251231;20251231;4E3581E67B;6080B1CE91;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72937;58350;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110345
HG;200093/26;2;;;20251231;20251231;4E3581E67B;C12955221C;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72937;58350;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110371
HG;200093/26;3;;;20251231;20251231;4E3581E67B;32A5ACBBBC;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;72937;58350;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110374
HG;200093/26;4;;;20251231;20251231;4E3581E67B;CC8C1047F0;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19194;15355;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110401
HG;200093/26;5;;;20251231;20251231;4E3581E67B;C3BC6E5768;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19194;15355;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110788
HG;200093/26;6;;;20251231;20251231;4E3581E67B;528D11231F;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;19194;15355;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;111001
HG;200094/26;1;;;20251231;20251231;4E3581E67B;59CF49EE64;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;97889;78311;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;510620
HG;200095/26;1;;;20251231;20251231;4E3581E67B;9D3EEA43B7;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;103264;82611;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110140
HG;200096/26;1;;;20251231;20251231;4E3581E67B;36C45359CF;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;36469;29175;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110143
HG;200096/26;2;;;20251231;20251231;4E3581E67B;0B35E02902;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;36469;29175;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110145
HG;200097/26;1;;;20251231;20251231;4E3581E67B;EB7E24C0EE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;74857;59886;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110171
HG;200098/26;1;;;20251231;20251231;4E3581E67B;3A416D513B;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;105567;84454;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110174
HG;200099/26;1;;;20251231;20251231;4E3581E67B;4A0AB53093;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;67563;54050;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110924
HG;200100/26;1;;;20251231;20251231;4E3581E67B;F5AD9E14B7;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102496;81997;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110942
HG;200100/26;2;;;20251231;20251231;4E3581E67B;E5DD928B06;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102496;81997;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;110945
HG;200100/26;3;;;20251231;20251231;4E3581E67B;01AA57FC0A;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102496;81997;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200100/26;4;;;20251231;20251231;4E3581E67B;6F76963A76;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;102496;81997;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200101/26;1;;;20251231;20251231;4E3581E67B;6967904FCF;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95970;76776;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200101/26;2;;;20251231;20251231;4E3581E67B;07F0DA0895;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95970;76776;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200101/26;3;;;20251231;20251231;4E3581E67B;30B6E11215;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95970;76776;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200101/26;4;;;20251231;20251231;4E3581E67B;AF8F26053E;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;95970;76776;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200102/26;1;;;20251231;20251231;4E3581E67B;EC4A768FFD;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;67563;54050;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200103/26;1;;;20251231;20251231;4E3581E67B;CA860AE98B;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;70634;56507;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200104/26;1;;;20251231;20251231;4E3581E67B;4108E92A84;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;104031;83225;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200104/26;2;;;20251231;20251231;4E3581E67B;D4AD647A49;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;104031;83225;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200104/26;3;;;20251231;20251231;4E3581E67B;9D667D8A1D;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;104031;83225;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200104/26;4;;;20251231;20251231;4E3581E67B;6FC84B1A05;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;104031;83225;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200104/26;5;;;20251231;20251231;4E3581E67B;1E963341B1;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;104031;83225;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200105/26;1;;;20251231;20251231;4E3581E67B;0ECFFEFF86;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;1;157775;126220;;EUR;PLN;383.88;510620;;PL;;;3382E5BE80;25;;;
HG;200106/26;1;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;12;32016;25613;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200106/26;2;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;36;160170;128136;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200106/26;3;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;15;93398;74718;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200106/26;4;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;10;20576;16461;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200106/26;5;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;20;53436;42749;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200106/26;6;;;20251231;20251231;4E3581E67B;DF63C576FE;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;7;21578;17262;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200107/26;1;;;20251231;20251231;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;18;51824;41459;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200107/26;2;;;20251231;20251231;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;12;48830;39064;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200107/26;3;;;20251231;20251231;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;9;20039;16031;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200107/26;4;;;20251231;20251231;4E3581E67B;35A0846829;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;6;15662;12530;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
HG;200108/26;1;;;20251231;20251231;4E3581E67B;247BA07AD9;;PL03;;;;PL/22;;;;;;;1;1;9005;9005;16;32553;26042;;EUR;PLN;383.88;510620;;PL;;;9832C7853A;68;;;
